user_id,sequence,sequence_length,support_count,next_action_candidate,positive_label,pattern_id
user_096,信用卡账单 -> 还信用卡 -> 查还款结果,3,3,查还款结果,1,sequence_049_1
user_008,查余额 -> 给朋友转账 -> 查交易结果,3,3,查交易结果,1,sequence_050_0
user_008,银行卡管理 -> 添加银行卡 -> 短信验证,3,4,短信验证,1,sequence_050_1
user_067,查看理财产品 -> 风险评估 -> 购买理财,3,4,购买理财,1,sequence_051_0
user_067,基金定投 -> 查看基金净值,2,5,查看基金净值,1,sequence_051_1
user_208,信用卡账单 -> 还信用卡 -> 查还款结果,3,5,查还款结果,1,sequence_052_0
user_208,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,6,查交易结果,1,sequence_052_1
user_057,银行卡管理 -> 添加银行卡 -> 短信验证,3,6,短信验证,1,sequence_053_0
user_057,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,7,查还款结果,1,sequence_053_1
user_126,基金定投 -> 查看基金净值,2,7,查看基金净值,1,sequence_054_0
user_126,选择网点 -> 预约取号 -> 查预约记录,3,8,查预约记录,1,sequence_054_1
user_128,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,8,查交易结果,1,sequence_055_0
user_128,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,2,查还款结果,1,sequence_055_1
user_051,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,2,查还款结果,1,sequence_056_0
user_051,查看黄金行情 -> 买黄金,2,3,买黄金,1,sequence_056_1
user_073,选择网点 -> 预约取号 -> 查预约记录,3,3,查预约记录,1,sequence_057_0
user_073,查余额 -> 给朋友转账 -> 查交易结果,3,4,查交易结果,1,sequence_057_1
user_174,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,4,查还款结果,1,sequence_058_0
user_174,查看理财产品 -> 风险评估 -> 购买理财,3,5,购买理财,1,sequence_058_1
user_148,查看黄金行情 -> 买黄金,2,5,买黄金,1,sequence_059_0
user_148,信用卡账单 -> 还信用卡 -> 查还款结果,3,6,查还款结果,1,sequence_059_1
user_111,查余额 -> 给朋友转账 -> 查交易结果,3,6,查交易结果,1,sequence_060_0
user_111,银行卡管理 -> 添加银行卡 -> 短信验证,3,7,短信验证,1,sequence_060_1
user_069,查看理财产品 -> 风险评估 -> 购买理财,3,7,购买理财,1,sequence_061_0
user_069,基金定投 -> 查看基金净值,2,8,查看基金净值,1,sequence_061_1
user_165,信用卡账单 -> 还信用卡 -> 查还款结果,3,8,查还款结果,1,sequence_062_0
user_165,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,2,查交易结果,1,sequence_062_1
user_084,银行卡管理 -> 添加银行卡 -> 短信验证,3,2,短信验证,1,sequence_063_0
user_084,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,3,查还款结果,1,sequence_063_1
user_131,基金定投 -> 查看基金净值,2,3,查看基金净值,1,sequence_064_0
user_131,选择网点 -> 预约取号 -> 查预约记录,3,4,查预约记录,1,sequence_064_1
user_127,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,4,查交易结果,1,sequence_065_0
user_127,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,5,查还款结果,1,sequence_065_1
user_134,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,5,查还款结果,1,sequence_066_0
user_134,查看黄金行情 -> 买黄金,2,6,买黄金,1,sequence_066_1
user_001,选择网点 -> 预约取号 -> 查预约记录,3,6,查预约记录,1,sequence_067_0
user_001,查余额 -> 给朋友转账 -> 查交易结果,3,7,查交易结果,1,sequence_067_1
user_143,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,7,查还款结果,1,sequence_068_0
user_143,查看理财产品 -> 风险评估 -> 购买理财,3,8,购买理财,1,sequence_068_1
user_183,查看黄金行情 -> 买黄金,2,8,买黄金,1,sequence_069_0
user_183,信用卡账单 -> 还信用卡 -> 查还款结果,3,2,查还款结果,1,sequence_069_1
user_089,查余额 -> 给朋友转账 -> 查交易结果,3,2,查交易结果,1,sequence_070_0
user_089,银行卡管理 -> 添加银行卡 -> 短信验证,3,3,短信验证,1,sequence_070_1
user_012,查看理财产品 -> 风险评估 -> 购买理财,3,3,购买理财,1,sequence_071_0
user_012,基金定投 -> 查看基金净值,2,4,查看基金净值,1,sequence_071_1
user_030,信用卡账单 -> 还信用卡 -> 查还款结果,3,4,查还款结果,1,sequence_072_0
user_030,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,5,查交易结果,1,sequence_072_1
user_055,银行卡管理 -> 添加银行卡 -> 短信验证,3,5,短信验证,1,sequence_073_0
user_055,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,6,查还款结果,1,sequence_073_1
user_153,基金定投 -> 查看基金净值,2,6,查看基金净值,1,sequence_074_0
user_153,选择网点 -> 预约取号 -> 查预约记录,3,7,查预约记录,1,sequence_074_1
user_054,查看理财产品 -> 风险评估 -> 购买理财 -> 查交易结果,4,7,查交易结果,1,sequence_075_0
user_054,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,8,查还款结果,1,sequence_075_1
user_016,查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,4,8,查还款结果,1,sequence_076_0
user_016,查看黄金行情 -> 买黄金,2,2,买黄金,1,sequence_076_1
user_025,选择网点 -> 预约取号 -> 查预约记录,3,2,查预约记录,1,sequence_077_0
user_025,查余额 -> 给朋友转账 -> 查交易结果,3,3,查交易结果,1,sequence_077_1
user_209,查余额 -> 查账单 -> 信用卡账单 -> 还信用卡 -> 查还款结果,5,3,查还款结果,1,sequence_078_0
user_209,查看理财产品 -> 风险评估 -> 购买理财,3,4,购买理财,1,sequence_078_1
user_038,查看黄金行情 -> 买黄金,2,4,买黄金,1,sequence_079_0
user_038,信用卡账单 -> 还信用卡 -> 查还款结果,3,5,查还款结果,1,sequence_079_1
